content,gender_imputed
同居，前提是保护好自己不受孕，真的只有做枕边人才能把这个人里里外外扒三层才能了解清楚……例如愿不愿意和你分工合作做家务，承担家庭责任的能力，最主要也可以了解他是否专一，不专一的人同居状态下总会有蛛丝马迹……,0
没有必要。难道大家不知道 同居 和 结婚有天壤之别吗？结婚的事情涉及了双方父母，而且有了孩子之后就有非常多男方父母的影响。我有闺蜜同居和男方相处的挺好，而且男方还是和父母住在一起，她同居就是直接同他们住，她很开心还经常在朋友圈秀恩爱。直到她发现怀孕后想结婚生孩子，男方就和他父母把闺蜜赶走了，因为男方父母根本就不满意我闺蜜，男方一直是以上床为目的骗她同居的，他不是真的想娶她，他父母也默许了这种骗炮行为……然后他们逼她把胎打了，给了1w元精神安慰费，从此不相往来。我只想说同居为确保结婚幸福起的作用小的可怜，同居对女方唯一有用的是当她怀孕了可以试出男方心意。,0
我过去认为已经准备要结婚了，同居不同居应该都不会改变要结婚的进度。但是看了这个问题下面很多答案后也改变了很多看法。  毕竟结婚后两个人是要一起长久的生活的，它和谈恋爱不同，谈恋爱一直在创造美好，而同居是真的去接触柴米油盐的真实生活，而这才是结婚后的真实模样。而生活习惯这个东西，已经二十多岁的人了，去磨合去改正是需要很大努力的。不一定说同居是为了发现对方的缺点，而是对于缺点，是否能够改正，改正不了的情况下彼此又是否能够长久包容，同居了，就有一个清晰明了确定的答案了，也能更确定这个人是否是心中想要携手一生的人了吧。,0
白天上班见不到，同居了晚上回去一起能吃个饭，相拥看个剧，懒得说话了有对方陪在身边，勤快了一起做顿饭刷碗干家务，一起存钱为了买房结婚在陌生城市奋斗。对方父母都认可，x生活也有正确措施，有内心真实的交流。我多想过这样的日子，可惜我们毕业了却去了不同的城市，想享受一下好多同学已经过上的日子都觉得遥遥无期。,0
同居是个重大决定，但它更是一种体验。如果你们互相爱惜，共同成长，如果你们尝试后，觉得两个人的生活比自己过要快乐，那爸爸愿意你们结婚。如果你们仅仅是喜欢，同居后发现并不合适，如果长久的相处中，发现太难调和，及时止损才是最好的选择。无论结果如何，落下这步棋，就不必后悔。爸还记得，你刚谈恋爱那会儿发的朋友圈：“爱一个人，会把自己放得很低很低，低到尘埃里，在尘埃里开出花来。”知道那只是个比喻，但你听好了，以后绝不准“低到尘埃里”。你是谁的恋人，将来是谁的妈妈，在我们眼里，你就是当初蹒跚学步的那个小孩子，爱笑爱闹的小粉团，你就是你自己。想分享什么，爸妈随时乐意听，要是累了倦了，需要依靠，我们也随时都在。天晚了，爸也该睡了，女儿，勇敢去爱吧，别忘了常回家。,1
有些对于婚后很重要的事，婚前不同居一下，可能还真的不知道。,1
我想说婚前同居了分手，那和离过婚有什么区别？,1
建议同居，但是要看怎么同居，不是傻乎乎的想当然就同居。一般我朋友找我咨询恋爱问题我都会建议一下几个方面（不论男女）：1.平常和对方接触多观察细节2.和对方出去旅游至少一次以上3.婚前同居半年左右首先是观察细节，这点不用说，男女都需要注意。比如出去吃饭看对方对待服务人员的态度，对方如果开车就看对方开车的状态，还有遇到突发状况时的应变能力等。不要说谈恋爱不是结婚不需要看这些，如果你的恋爱只是基于青春期的悸动没有考虑过未来，那当然怎么开心怎么来，但如果打算长久，这些细节很考验三观很需要观察。其次是出去旅游，我忘了是谁说，旅游很能看清一个人，不管是情侣之间还是朋友。对方是否喜欢插队，是否在禁烟区吸烟，是否乱扔垃圾，是否连奶茶都要和你AA（当然这个见仁见智），是否遇到一点小事就要各种抱怨，是否因为几块钱的事情和卖家争执不休（当然这个还是见仁见智），是否什么事都交给你安排一点责任感都没有，等等等等。最后就说回主题，同居，我认为婚前是一定要同居的，但是怎么同居也是有点学问。首先，我不认为男女双方认识半年或一年以上因为相爱认真考虑过后的同居值得被批判，我看到有人说这是西方的糟粕什么“性自由”“性开放”之类的。我认为两情相悦想要住在一起靠近彼此，并且情到浓时发生些什么都是水到渠成的，轮不到外人扯着什么羞不羞耻的旗号来反驳（当然得成年啊，未成年的话我头一个反对啊！）。其次，同居也不是随便同居的，不是说见一个同居一个，也不能认识一个月然后欢天喜地就同居，不是随便不随便的问题，是会不会后悔的问题。不论是男女，同居就代表吃住甚至私生活什么的都在一起，你们不是合租却互不相干的租客，你们是情侣，很多东西都是共用的，小到牙膏或者饭钱，大到房租水电，如果你事先不了解对方到底是为了坑你还是真心喜欢你愿意和你共同承担，万一被仙人跳就不好了对吧…还有至少彼此的父母要知道对方，彼此的朋友也要知道有这么个人，要是万一遇到个心狠手辣的对象…对吧，还是注意安全。最后，同居就基本上避不开啪这个话题（所以为什么我这个驾照都没有的妙龄少女要谈这个啊喂！）。我不反对啪，但是不要刚同居对方兴高采烈拉着你往床上去你也傻乎乎的跟过去，不管是男是女，等同居的兴奋感冷却过后再啪会比较好。如果是女的，得小心遇到个冲着身体来的渣男，如果是男的，还是那句话，小心被仙人跳。还有注意避孕，同居还是别搞出孩子比较好，既然是同居就代表还没完全做好结婚的打算，如果怀孕会手忙脚乱的。婚前同居可以很近距离很仔细的观察一个人的三观和生活习性，如果不合适能避免结婚之后再离婚的麻烦，但是时间别太久，太久容易产生疲惫感，会对之后的婚姻感到倦怠。唔本文很小心规避男女对立的说法了啊，如果还有冒犯请见谅。老实说我觉得有的男士会有处的情节也是情有可原，把这个看成个特殊的x癖就好了(●°u°●)​ 」妹子们如果不喜欢这样的人不交往不接触就好了。同理，女孩子们爱婚前还是婚后都是自己的事情，男士们不喜欢也没有必要在网络上各种批判。我忘了在哪看的…说母系社会和父系社会的转变就是看谁能控制对方的生存权吧（大致意思是这样），母系社会是因为女性早期很会采野果，所以掌权，而转变成父系社会是因为男性的力气大，渐渐会狩猎，所以转变了（不知道对不对，但是我觉得有一定的道理），所以如果想有话语权最好的方法就是提升自己，努力赚钱有点跑遍，但是这个问题底下有一些比较偏激的回答或评论让我有点生气…不论男女都一句话，做好自己，有那个时间多读点书充实自己吧！,0
如果说靠同居去发现问题，我想只能是发现他在性方面的能力问题，生活中的琐碎，柴米油盐对待事物的看法。不是在床上去发现的，靠的是平时常处的细枝末节。相处时的默契程度。三观是否契合。从古至今，老祖宗的规矩还需要保留一些的。我认为最美好的事情还是刚在洞房花烛夜。对于女孩子而言，用身体去经历。发现了问题，身体和心灵受到的伤害是无法逆转的。,0
同居能让你更全面的了解另一个人是结婚前的必要选项。,1
非常有必要。,0
小区里有个男的和他女朋友同居了有三年，然后没有结婚分手了，后来他分手后没几个月马上结婚了，现在孩子都上幼儿园了。周围其它邻居对此的评价清一色都是说这前任女孩子真欠（自己不爱惜自己的意思）。其实这很能反映出一大部分人对于婚前同居的看法，认为同居女孩子吃亏些。但在我看来的话，我是会恭喜这个女孩子的。并不是说这男的就多么混蛋，可能只是两个人真的不合适而已。婚前同居解决不了的问题，结婚也并不能有多大改观。结婚这一纸证书能让众人对这段婚姻看得更加郑重，但是离婚的代价也同样很大。同居能看清两个人合不合适，但是大部分情况，对于女方来说，各种风险也是会直线上升。这世上本就没有两头都能占的好事，一般好坏都是各半的，拿捏好利弊，自己想清楚别后悔就行。,0
有必要的。同居成本要远远小于离婚成本。当然不是谈一个就同居一个，而是当你觉得这个人差不多可以和你一起进入婚姻生活了，你就有必要和那个人同居试婚一段时间。在这段时间就会发现对方很多谈恋爱时不会显露出来的问题。如果能忍就去结婚吧，不能忍就快刀斩乱麻，干脆利落地远离对方。当然同居过程中得自尊自爱，要保护好自己。,0
这只是我个人，请不理解的绕道，懒得回复。我觉得有必要同居(政治正确)，但是我不会娶一个和前男友同居过的女人(个人观点)。仅此而已！,1
我赞成“婚前”同居大前提是“婚前”“婚前”:①已经订婚            ②即将订婚            ③双方见过父母，并且都支持除此之外，其余形式的同居我是没法接受的因为我不想我的老婆和其他男人以前过过夫妻一样的生活当然，我自己也不会轻易地去同居除非满足我上述的“婚前”条件,1
要啊，怎么不要。这样很多男的就不断试婚就可以了，还结什么婚，还负什么责任？大家都开心就好。,1
https://www.zhihu.com/video/1112677610580099072从最初甜蜜的如胶似漆，到争吵过后的无限冷战，再到分离过后的悲痛欲绝，于是，当爱情变成回忆，我们又回到一个人的状态。婚前有没有必要同居？说白了，这是一个试探对方性格、脾气、癖好、品性的过程，但人性能否经得起测试和考验，才是问题的关键。像视频里那样，一个房间展示爱情的全部过程，这是专属于两个人的爱情空间。当热潮过后迎来的是对彼此最初的落差感，于是爱情再度成为亦或美好亦或伤痛的回忆……最初的相遇总是美好的，男孩与女孩在茫茫人海之中寻得彼此，爱情的滋润让两人如影随形，像所有情侣一样，热恋的时光总是美好的。当我们决定要长相厮守，将两个人的生命线绑在一起，就不得不面对生活中的柴米油盐，以及各种屎尿屁。爱一个人优点叫欣赏，爱一个人缺点叫包容，也可能是爱屋及乌，因为即使是灰暗也因为爱他/她而变得亮丽。婚前同居试试合不合适，为什么不呢？买个家电还有试用期呢？但不能因为一个人温柔体贴就急着和他共度余生，余生很长，慢一点也无妨。汇集全球优质短片，在【开眼视频】，短视频也像看大片！,1
如果害怕同居以后分手，就不要同居。人生的大多数选择，都是没有后路可留的。,1
必须有啊。1.对于双方来说，不同居你不知道对方生活中有哪些你无法忍受的习惯或者癖好。婚后才发现弄的鸡飞狗跳，不如婚前同居一段时间，双方更好了解，也是磨合的过程。2.同居后日夜相处中，情绪和性格的优缺点也会放大，什么妈宝姐控伏地魔，多多少少会显露出痕迹，如果你介意，那么该考虑清楚。如果只是谈恋爱，想要隐藏这些特性会比较容易，但是同居很难做到完全隐匿，除非你自己装眼瞎。3.检验双方性生活是否合拍。尤其是性冷淡、阳痿等，不同居并婚后再同房，真出问题了哭都不知道跟谁哭。女孩子别以为同居你就吃亏，不同居就结婚，不小心嫁个不举的你更惨。当然，以上说的都是万一。同居相当于结婚的试用期，工作几年还有试用期呢，一辈子的婚姻试用一段时间不应该吗？？,0
有必要的，谈恋爱和结婚根本就不是一件事。谈恋爱只是通过结婚到生活过度阶段。够考验人的。同居几个月试试，如果适合，真挺好。不适合就再磨合。磨合不来肯定会分手。值得一试。,0
有。两人就像两齿轮，有特配的，但是大多都要磨合的。磨合不好，就分了。是离婚的成本高还是同居分手高？,1
如果是奔着结婚去的，我感觉可以同居，如果就是处朋友，没想好要不要在一起，我感觉不要同居，对谁都好,0
嗯 跟男票在一起4个多月 同居三个月 从相邻房间搬到了一起……emmm   之前房间隔了一堵墙 想彼此的时候就敲墙  后来还是没忍住就搬到了一起……感觉还是很有必要的 所有的磨合都应该放到婚前 磨合的差不多就可以结婚了～住在一起最能感觉到彼此的问题   直视问题 解决掉 婚姻就会少一颗定时炸弹,0
有，起码性生活不和谐的问题可以提前发现。,1
有，非常有。还有几天就要领证了。大二学生，父母都知道，所以下面不想看到有谁在说三道四。因为我个人是个没安全感的人，妈妈也希望有人能照顾我，所以没有反对。男朋友比我大四岁，上班，170的小胖子，我155的小胖子，我以前不胖的，认识他以后才胖的。我们是认识半年以后同居的每天送我上学，他公司九点钟上班，我八点上课。其实一开始没有送我，因为我早上上自习，我就六点半起床，收拾收拾差不多七点半到学校，想让他多睡会儿。后来大二，我们不上早自习了，我有天特别累，他就送我去学校，后来成习惯了，每天七点半起床，送我去学校，他们公司在另一个方向。晚上赶得上就来接我，赶不上我就自己回家。晚上去菜市场买菜，回家换衣服，他做饭，我打下手，择菜，洗菜，煮饭，洗碗，打扫卫生。吃饭每天基本上三个菜一个汤，会多做一点，因为他不喜欢吃外卖。会跟他分享这一天的快乐和不快乐。因为我们是个独厨，所以自己瞎搞。吃饭的时候就端到电脑桌前，看直播，电影，电视剧，纪录片之类的两个人就开始侃大山吃过饭，洗澡，内衣裤每天都洗，因为我要每天洗内衣裤，顺便把他的洗了。衣服毛巾用完就丢脏衣娄，洗澡的时候洗丢洗衣机。洗完澡他打游戏，我就跟朋友们聊天，打球球差不多就睡觉，聊天。有时候聊到两三点因为是合租，我们两个都很自觉，卫生间卫生换了两轮租客，一直是我们打扫。他也很有责任心，家里的水电都是他在算，有时候觉得我们自己吃力不讨好，气得要死，他还安慰我。我们两个都不是很爱干净的人，就是家里感觉脏了就打扫，回来衣服乱扔，睡觉前整理好就行床单被罩一个周换一次，一两个星期做一次大扫除他是个很怕热的人，春天一开始，我们就两个被子睡觉，到最后可能他冷了就钻到我这儿了。夏天开空调，他还要开风扇，一般都是我洗澡的时候他自己先把温度降下来，我洗好了，就关风扇。周末俩人就扯着睡，睡到十点多，去过早，买菜，下午要么收拾收拾出去玩，要么就在家做一下午饭，打打游戏。暑假不让我去打暑假工，怕我受苦。冬天怕我冷，每天下班都给我带好吃的，回家再给我做。我超级喜欢买东西，很多都没用，他老笑话我，但是从来不怪我，他对自己很抠，夏天穿三十块 的短袖还想着给我买好的，让我吃好的，用好的。我们从来没有离开过对方超过三天。第一次离开对方是，去年五一放假，他表哥结婚我闺蜜来我这里，他第一天走，第三天下午回来。第二次我去厦门，但不放心他一个人在家，就是想他了，去了两天，就定飞机回来了，他还说好不容易出去玩，怎么不多呆会儿。第三次，我去培训一个周，但是周三的时候因为学校照毕业照，我就又回来，所以我们好像没有过很长的离别。在外面基本上他不跟女孩子讲话，唯一一个女性朋友是一个宝妈，人夫妻俩是老板，一个公司的，他在人手下打工。我有个一个基友认识了快十年，他俩还没见过，毕竟我基友在天津哈哈哈哈哈从来没生对方的气超过两天的，就算是生气，两个人总有一个人做舔狗，有时候他生气，我就哄他，哄着哄着我就生气了，他就开始哄我，所以他才是终极舔狗钱，我妈妈一个月给我一千块钱，我自己做网拍，一个月工资一千左右，他原来一个月工资四千左右，房租一千，还信用卡，他自己手上留点早饭钱。出去吃饭，谁有钱谁掏，买菜也是。好像对方都没有缺点，就是平平淡淡的生活，平平凡凡的人。因为同居，所以想早点结婚，因为同居，才知道他是个这么棒的人。,0
个人觉得应该是有必要的，只有真正生活在一块，你才能最真实的了解对方，熟悉彼此的生活习惯，在外面，大家都是光鲜亮丽的，只有在家的时候，可能才是最真实的自己。,1
同居不是为了上床，女性不是免费鸡。同居是为了互相磨合生活习惯。现在离婚率为什么高？绿帽为什么多？大部分人要么相亲，要么毛都不懂的直接结婚住一起，日子过得好才怪。,1
作为一个恋爱六年的广大男同胞，我不赞成。中间六年，我们经常去对方家，认识了父母，彼此的朋友，偶尔出去玩住一起，但觉得可以领证了，这些问题再讨论。爱是一种付出，也有很多体现形式，不要为了一个目的就同居，没有必要。,1
个人觉得很有必要，且同居不能有孩子。婚姻是人生很重大的一件事，婚前同居就相当于一个过渡期，让彼此了解对方在生活上是什么样的人，有什么样的习惯，是否能接受彼此的习惯，如果不能接受，又该如何处理。恋爱期间，都是把最好的一面展现出来，但在同一屋檐下，可能暴露出来的更加自我，所以双方能否接受彼此真正的那一面，还是需要考虑的。同居离婚姻差一步，离分手也只差一步。,1
希望同居分手后的你，不要隐瞒你的同居经历，大大方方的告诉你的下一任未婚夫！用你们的话说，就是支持同居的和支持的在一起，不支持的和不支持的在一起！不要在网络上大胆匿名支持，现实中却唯唯诺诺的隐瞒！不要让老好人做人接盘侠，不知不觉嫁或娶了个“二婚”！本文男女同视！,1
我认为是有必要，现代社会思想开放了，虽然也有直男癌，但是也是少数了。当然我说的同居也不是随随便便交往一个就同居，是那种比较稳定的关系，门当户对父母支持相亲相爱，已经谈婚论嫁的情侣。不在一起生活很多细节发现不了，结婚后才发现万一后悔也来不及了。还有就是某方面能力也是要了解的。同居比出去旅行靠谱的多。即使是热恋期间也不可能在爱人面前装24小时不是。个人认为离开学校的恋情，恋爱一年左右同居半年到一年，双方都能接受对方的小毛病，夫妻生活和谐，领证。完美！学生的话就真的不建议同居了。第一同居会增加不少费用，有的小情侣家境并不宽裕，经济负担重会影响感情。而且怀孕是个麻烦的问题，感觉即使是现在我们的家长也对性教育有偏见，之前爆漫说曾经有个非常好性教育教材被家长diss后被迫下架了。说一个我大学同学的事情，具体我也不知道就知道她怀孕了，到大家都能看出来的地步了，她自己都觉得自己只是月经不调，幸亏是她室友给她妈妈打了电话家里才带去做检查，当时人流已经做不了了，只能引产，后来引产了，之后就休学了。我不对这个女生怀孕这件事做评价，但是怀孕最起码5个月了，一无所知，只觉得自己是月经不调这个是有多无知。我认为这不是个例。虽然大学生情侣也会去开房但是最起码不会一炮就中。跑题了。手动 狗头,0
我闺蜜谈了个男朋友，奔着结婚去的，男孩子对她很好，人感觉也挺实在，唯一让我闺蜜不满意的是，男孩子发际线稍微有一点高，发量也比较稀疏，闺蜜觉得这样不太好看，但也并没有影响他俩走下去。在一起快一年的时候，俩人结伴去上海玩儿，闺蜜已经做好了献出自己的准备，然鹅，关键时刻，滑铁卢。老哥说自己太紧张了，以至于后来就是，没有成功。那次旅行之后，闺蜜一直问我他是不是不健康，是不是不太行，我说他可能第一次吧，确实比较紧张。闺蜜又上网查“毛发少的男生是不是肾虚”之类的问题。很明显，她很担心对方有这方面的问题，甚至连预定好的去男生家里见父母的计划都推迟了。毕竟，万一万一真的有问题，无性婚姻应该还蛮恐怖的。幸运的是，第二次出游，终于成了，但闺蜜回来又问我，你说男生第一次是不是都很快？我……她还是担心 所以呢，我感觉，这方面的健康也是幸福婚姻很重要的一部分吧，婚后发现，岂不痛哉。当然也不是鼓励大家随意发生性行为，我觉得人应该为自己负责，性观念比是不是处女更重要。更别说同居会暴露很多生活习惯和细节问题了，比如卫生习惯，比如作息时间，比如怎么打发闲暇时光，这些问题虽小，以后都是击垮你们婚姻的一个个蚁洞。所以，如果感情稳定，双方父母都没意见，适婚年龄，同居应该没问题吧。,0
一般来说，回答没必要的大多是没结过婚的，生怕自己吃亏。回答有必要的大多是结过婚的，因为已经吃亏。反对同居的唯一理由，就是怕退货贬值，这是典型的卖家思维，根本没有想到自己应该在婚姻关系中占据主导地位，去拥有选择权，而是想限制对方的选择权，以达到自己高价卖出的目的。实际上，婚姻跟爱情和性的关系都不大，这是和经济相关。所以一个合同里面有试用期条款是相当美好的，对双方而言都是。跟同居一段时候被踢掉比起来，更大概率是同居一段时间后不得不结婚的。可能对一些纯洁的小朋友来说，外面看起来正常的婚姻，里面存在的问题和婚前睡几个男人女人可怕得多，有形婚的，有婚后无性的，有老公往家里带男人的（不是同性恋），有老婆往家里带女人的（同样也不是同性恋），同居一下，算个啥？,NA
如果见双方家长，差不多订婚的话可以一起生活一段时间。时间肯定有限制的，如果觉得相处的能包容彼此那就好。如果发现不合适要及时分开。,0
感觉是非常有必要✌因为和男朋友是异地但是男友是在我家乡那边工作的我还是一个学生其实也不是同居 但是一个月会回来一两次找男朋友每次在学校的时候要是和男朋友 吵架闹脾气其实一个爱的抱抱就能解决的但是异地是不能的 每次我都很作  会想要分手   不过了但是每次过会又会自己好了没办法！谁让我这么爱他呢❤❗❗❗我要说的重点来了每次来找男朋友就各种想要抱抱  恨不得一直黏在他身上就比如中午吃个饭都是吃几口然后又要过去抱抱男朋友最后才想起我的饭呀！都凉了每次和男朋友在一起都感觉很好很想赶紧毕业然后和男朋友一起租一个房子 每天都能见面每晚都能和他一起抱着睡觉 多好呀❓在学校每天都要和男友视频真的是每天！都成为常态了舍友们都说怎么每天有那么多话要说啊可能这已经是我们两的习惯了不视频就感觉今天没见到他很安心怕他被那只猪给拱了哈哈哈哈哈哈哈(其实也才不是呢)但是每次来找男友只能自己一个人待着看到舍友的评价，很真实的反应出我的现状但是真的和男朋友待在一起真的超级好的 我很爱他，但是他更爱我每次在一起睡觉，他都会要抱着我 希望我们能一直在一起能赶紧的实现真正的同居好期待我们的小家,0
有必要！！！坚决支持婚前试婚，结婚要慎重 既然和一个人已经做好了共度一生的准备，那先订婚再住在一起半年，把所有的缺点都暴露出来，适应彼此的生活习惯，就算再会伪装的朝夕相处也伪装不下去，最后还能接受彼此的缺点不足的，觉得那些小缺点也很可爱，互相理解互相尊重的再结婚。如果连半年一年都挺不住谈何共度余生，结婚更是像计划一样戴上了枷锁，然后开始互相折磨。,0
没必要，也不建议。试婚和结婚心态不一样。现在大家喜欢超前消费，比如刷信用卡，花呗。现在婚姻也想超前消费。但是信用卡是要还的，同样，试婚也是。要还的是什么呢？透支了婚姻本身。婚姻是个很奇妙的事情。仪式感是很有意义的事情。当恋爱一段时间，终于做了个终身决定，求婚，誓言，洞房，蜜月，多少年后，这些都值得回忆。我每次参加婚礼，看着新郎新娘通过漫漫长路终于在一起，都会感动哭，那是一个里程碑。如果试婚和同居，就淡化了里程碑，还伤害了婚姻。,1
婚前同居，很容易怀孕！怀孕后，男方如果不负责任，如果再堕胎，会对女方身体造成很大伤害！同居，必须约法三章，如果双方都禁不住诱惑导致女方怀孕，那就麻烦了。性生活如果太频繁，又会影响结婚以后成功怀孕和双方身体健康。,0
